_id,objectid_1,objectid,acreage,sqft,final_cat,Neighborhood,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,globalid_1,shape_area,shape_length
18812,1237,143,9.278443,404167.3606,Regional Park,Mount Washington,6,Olympia Park,Emerald View Park - Olympia Park,Emerald View Regional Park,Emerald,2810.162613,5217a635-cba9-4f1e-93c7-a604fc8f59e3,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Emerald,9.278443004,95c13cec-d310-4a17-9336-001c27e85089,64880.32813,1126.687516
18813,1238,30,4.90422879,213627.3514,Neighborhood Park,Greenfield,9,Bud Hammer Playground,Bud Hammer Park,Bud Hammer Park,Schenley,2043.237933,7af3c8fe-087a-4e37-af3e-03860275b96c,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Schenley,4.904228785,fe4fc570-95e1-454b-8951-ceea17be0a4c,34282.96875,895.9612666
18814,1239,115,0.66973833,29173.68506,Community Park,Downtown,16,Market Square Park,Market Square Park,Market Square Park,Riverview,654.3900043,2135e0d3-02e0-47df-bd9c-fd24eba4397d,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Riverview,0.669738332,440ae999-9047-4c25-b27a-856a7b195389,4684.539063,262.1595873
18815,1240,108,0.63524651,27671.22731,Neighborhood Park,Lincoln Place,8,Lincoln Place Parklet,Lincoln Place Park,Lincoln Place Park,Frick,763.196716,b4b74fc4-80c6-4534-93d5-83dcd06e43c8,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Frick,0.63524651,dd054e45-44bc-4dd9-af26-d5eae8d5578b,4434.023438,305.8153472
18816,1241,62,3.55487677,154849.8127,Neighborhood Park,Fairywood,4,Fairywood Playground,Fairywood Park,Fairywood Park,Emerald,1580.617866,b14e6db3-cd9c-4ce2-9b58-aa2632b7a75f,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Emerald,3.554876771,43cfcbb6-5e49-4732-8216-d4bf8ad7b895,24870.98047,633.4006185
18817,1242,138,0.22416194,9764.454942,Neighborhood Park,Oakcliffe,14,Niagara Parklet,Oakcliffe Community Playground,Niagara Park,Schenley,395.3365115,590b1935-1d5d-4c5d-bd92-b1b469bc3c1c,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Schenley,0.224161938,ef46fd11-cb28-4c0e-a411-7a335b1935d9,1567.640625,158.4059873
18818,1243,66,9.47870336,412890.667,Neighborhood Park,Downtown,12,Fort Pitt Playground,Fort Pitt Park,Fort Pitt Park,Highland,3309.674188,af65aeef-0944-4a0c-936f-96ea81bec49b,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Highland,9.478703364,b921533d-5843-4f63-8413-7a8de3097a1d,66356.07422,1326.316487
18819,1244,129,5.28588047,230252.0322,Neighborhood Park,South Side,7,Monongahela Playground,Monongahela Park,Monongahela Park,McKinley,2224.842846,6d41972a-17ea-447a-8aec-792fed745308,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - McKinley,5.285880468,32d1f811-8e8e-4b19-a07a-c94b347133ae,36951.94922,787.2416557
18820,1245,175,0.53106161,23132.95138,Neighborhood Park,Polish Hill,4,Stratmore Parklet,Andrew Joseph Kukuruda Park,Stratmore Park,Emerald,845.1115208,98e651e7-e357-48d5-ad8e-53db1a814a8e,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Emerald,0.531061614,227126c5-6d18-4138-b20d-4eb3dd94f3be,3714.410156,338.6498977
18821,1246,4,2.28558167,99559.53942,Riverfront Park,North Side,16,Allegheny Landing Park,Allegheny Landing Park,Allegheny Landing Park,Riverview,1579.933657,4c54672c-8a00-4670-a599-1b3e59c22d84,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Riverview,2.285581673,ddcdc30a-61da-4934-bf80-66f09dd27fe5,15989.74219,626.9663272
